,Feature,Coefficients
32,crp,0.39496466118018697
38,band,0.37926401813869154
12,Hbullae,0.21558040573320345
8,animal,0.18390725606013322
33,seg,0.18169281398769724
7,sea,0.1707976484959332
28,wbc,0.14037738890706722
5,hypo,0.12834694243213568
23,alco,0.1174168358499858
45,site_U,0.11374863396588741
3,tachy,0.1045114900899883
2,fever,0.08038565009502763
17,Sbullae,0.07568989421167693
18,crep,0.074393366050207
15,pain,0.06559968136835895
24,htn,0.061910982889325714
20,hepa,0.05637419200189814
16,Swell,0.046838066107724785
25,lc,0.04529091498941568
4,tpnea,0.04425333566617236
13,anes,0.04336696917153649
31,sugar,0.03989710031845096
11,warm,0.03985332949529162
26,ai,0.03195225894342216
40,season_H,0.03076842645350399
37,alt,0.02658893479623996
0,age,0.0226971440779237
39,season_F,0.020052110066077166
9,farm ,0.0180105779754272
22,cancer,0.016812638971863275
14,necro,-0.00889689221226437
34,hb,-0.010245506273433186
36,k,-0.010330264595733756
35,cr,-0.010653264476346281
42,season_W,-0.011303396446673967
19,dm,-0.011564908532876334
1,gender,-0.02157031642101488
21,ckd,-0.023766790582846396
30,sodium,-0.037923239030747596
43,site_D,-0.03886971531308791
41,season_S,-0.0511783825385611
10,rash,-0.06153065901142476
29,plt,-0.06369881373992377
44,site_L,-0.07075079221105064
27,paod,-0.07431645186637896
6,wound,-0.08732182724891616
